utterance,emotion,clean_text,tokens
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
I am not paying for a mistake you made.,angry,i am not paying for a mistake you made,"['i', 'am', 'not', 'paying', 'for', 'a', 'mistake', 'you', 'made']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
My insurance changed recently.,neutral,my insurance changed recently,"['my', 'insurance', 'changed', 'recently']"
This is the third time I've had to come back for the same tooth!,angry,this is the third time ive had to come back for the same tooth,"['this', 'is', 'the', 'third', 'time', 'ive', 'had', 'to', 'come', 'back', 'for', 'the', 'same', 'tooth']"
This is taking way too long!,angry,this is taking way too long,"['this', 'is', 'taking', 'way', 'too', 'long']"
How long will the numbness last?,neutral,how long will the numbness last,"['how', 'long', 'will', 'the', 'numbness', 'last']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
Is the X-ray going to take long?,neutral,is the xray going to take long,"['is', 'the', 'xray', 'going', 'to', 'take', 'long']"
I can feel the cold water on my teeth.,neutral,i can feel the cold water on my teeth,"['i', 'can', 'feel', 'the', 'cold', 'water', 'on', 'my', 'teeth']"
Why wasn't I told about this charge earlier?,angry,why wasnt i told about this charge earlier,"['why', 'wasnt', 'i', 'told', 'about', 'this', 'charge', 'earlier']"
I try to brush twice a day like you said.,neutral,i try to brush twice a day like you said,"['i', 'try', 'to', 'brush', 'twice', 'a', 'day', 'like', 'you', 'said']"
Should I open wider?,neutral,should i open wider,"['should', 'i', 'open', 'wider']"
It doesn't hurt when I bite down.,neutral,it doesnt hurt when i bite down,"['it', 'doesnt', 'hurt', 'when', 'i', 'bite', 'down']"
