speaker,utterance,emotion
patient,I can feel the cold water on my teeth.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Should I open wider?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,I am not paying for a mistake you made.,angry
dentist,I'll discuss the payment options with you after.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,My insurance changed recently.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,This is the third time I've had to come back for the same tooth!,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,This is taking way too long!,angry
dentist,We want to ensure your dental health is the priority.,neutral
patient,How long will the numbness last?,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,The X-ray will only take a moment.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Why wasn't I told about this charge earlier?,angry
dentist,You might feel a bit of pressure.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,Should I open wider?,neutral
dentist,Let's see if we can adjust the bite.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,I understand let's take a look.,neutral
patient,This is the third time I've had to come back for the same tooth!,angry
dentist,We are doing our best to stay on schedule.,neutral
patient,My insurance changed recently.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,When did you say the next appointment was?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Should I open wider?,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,It's important to keep the area clean.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,That price is insane for a simple cleaning.,angry
dentist,We want to ensure your dental health is the priority.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,I am applying the numbing agent now.,neutral
patient,Do I need to come back next week?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Do I need to come back next week?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,Do I need to come back next week?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,That price is insane for a simple cleaning.,angry
dentist,We want to ensure your dental health is the priority.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,Is the X-ray going to take long?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,How long will the numbness last?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,It doesn't hurt when I bite down.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Do I need to come back next week?,neutral
dentist,I am applying the numbing agent now.,neutral
patient,Should I open wider?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,Your receptionist was incredibly rude to me.,angry
dentist,I am applying the numbing agent now.,neutral
patient,Should I open wider?,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,I'm about to go to a different clinic if this continues.,angry
dentist,I understand let's take a look.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,The X-ray will only take a moment.,neutral
patient,When did you say the next appointment was?,neutral
dentist,I am going to check the depth of the pocket now.,neutral
patient,I'll take the prescription to the pharmacy.,neutral
dentist,I am applying the numbing agent now.,neutral
patient,I noticed some bleeding when I floss.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,My insurance changed recently.,neutral
dentist,You might feel a bit of pressure.,neutral
patient,Do I need to come back next week?,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,Your receptionist was incredibly rude to me.,angry
patient,I noticed some bleeding when I floss.,neutral
dentist,It's important to keep the area clean.,neutral
patient,Do I need to come back next week?,neutral
dentist,You might feel a bit of pressure.,neutral
patient,My insurance changed recently.,neutral
dentist,We are doing our best to stay on schedule.,neutral
patient,I can feel the cold water on my teeth.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,Should I open wider?,neutral
dentist,Please open your mouth as wide as possible.,neutral
patient,How long will the numbness last?,neutral
dentist,I understand let's take a look.,neutral
patient,I try to brush twice a day like you said.,neutral
dentist,I'll make a note of that in your chart.,neutral
patient,Should I open wider?,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,This is unacceptable.,angry
dentist,It's important to keep the area clean.,neutral
patient,My insurance changed recently.,neutral
dentist,I'll discuss the payment options with you after.,neutral
patient,When did you say the next appointment was?,neutral
dentist,We want to ensure your dental health is the priority.,neutral
patient,This is unacceptable.,angry
dentist,The X-ray will only take a moment.,neutral
patient,I have been feeling some pressure here.,neutral
dentist,I am applying the numbing agent now.,neutral
patient,Do I need to come back next week?,neutral
dentist,The X-ray will only take a moment.,neutral
